Date	Time	Acetic Acid	Acetone	Ammonia	C2H2	C2H4	C3H6	CH4	CO	CO2	Cyclopentene	Ethanol	Formaldehyde	Formic Acid	Furan	Glycolaldehyde	H2O	HCl	HCN	Isobutylene	Methanol	Methyl Formate	Methylpropionate	N2O	Nitrous Acid	NO	NO2	Ozone	SO2
2016/03/04	13:30:12.418	3.7456	50.8700	0.4593	0.0000	0.1047	0.0398	1.6940	0.4235	785.8557	12.1996	0.0000	0.0000	0.3007	0.0000	1.4101	8313.5702	0.0005	1.4955	0.0062	0.4351	0.0271	1.2162	0.4863	1.3846	0.0000	53.8673	0.0000	0.5692
2016/03/04	13:30:21.868	2.8741	3.9686	0.4681	0.0000	0.1617	0.0235	1.7014	0.3447	784.4852	15.2285	0.0000	0.0000	0.2944	0.0000	1.5675	8296.9106	0.0000	1.4103	0.0000	0.4639	0.0569	1.2144	0.5124	1.5206	0.0000	52.4771	0.0000	0.9985
2016/03/04	13:30:31.776	1.3133	3.3707	0.4871	0.0000	0.1759	0.0243	1.7120	0.3410	797.3143	14.9502	0.0000	0.0000	0.2159	0.0000	1.5576	7849.7699	0.0000	1.1542	0.0000	0.4160	0.0096	1.1736	0.4959	1.3945	0.0000	52.0985	0.0000	0.9118
2016/03/04	13:30:43.945	0.5623	2.9524	0.4766	0.0000	0.2627	0.0000	1.7530	0.3515	771.1424	18.2202	0.0000	0.0000	0.2527	0.0000	1.6308	7258.0390	0.0000	1.1519	0.0115	0.3951	0.0186	1.2391	0.4297	1.3561	0.0000	51.3905	0.0007	0.9327
2016/03/04	13:30:53.691	2.8093	2.8676	0.4995	0.0000	0.2243	0.0000	1.6531	0.4674	781.7297	15.5085	0.0000	0.0000	0.1782	0.0000	1.0213	7340.7535	0.0000	0.9039	0.0669	0.3656	0.0032	1.2777	0.4948	1.4473	0.0000	46.5465	0.0000	1.1532
2016/03/04	13:31:08.081	4.5528	85.7897	0.4853	0.0000	0.2164	0.0282	1.7063	0.4261	772.3341	16.0985	0.0000	0.0000	0.1663	0.0000	1.3936	8575.5339	0.0000	1.0873	0.0000	0.4639	0.0524	1.2038	0.5335	1.4772	0.0000	55.3739	0.0000	0.5719
2016/03/04	13:31:17.611	2.9580	4.2686	0.5302	0.0000	0.1286	0.0318	1.7253	0.4408	764.9277	13.8488	0.0000	0.0000	0.2755	0.0000	0.9950	7857.5902	0.0000	1.2367	0.0599	0.3836	0.0334	1.2825	0.4833	1.2687	0.0000	51.2826	0.0000	0.6263
2016/03/04	13:31:32.308	3.5566	4.4521	0.4896	0.0000	0.0883	0.0000	1.7360	0.4442	774.4944	16.8107	0.0000	0.0000	0.2304	0.0000	0.9938	7625.4371	0.0000	1.1768	0.0410	0.4007	0.0402	1.2469	0.4542	0.9968	0.0000	54.7254	0.0000	0.9186
2016/03/04	13:31:46.764	2.7794	3.5926	0.4757	0.0000	0.2197	0.0076	1.7113	0.3848	776.6473	18.1706	0.0000	0.0189	0.2300	0.0000	1.8101	6955.6616	0.0000	1.2470	0.0000	0.3604	0.0000	1.2540	0.4938	1.1391	0.0000	53.8269	0.0029	0.8670
2016/03/04	13:31:56.555	2.0568	2.8215	0.5147	0.0000	0.2303	0.0228	1.7199	0.3792	781.4003	17.2986	0.0014	0.0000	0.1819	0.0000	1.9933	7440.0203	0.0000	1.0937	0.0000	0.3519	0.0706	1.2678	0.4733	1.3916	0.0000	49.2433	0.0000	0.6659
2016/03/04	13:32:11.107	1.0264	92.6470	0.4763	0.0000	0.1220	0.0132	1.7228	0.4923	809.7606	18.1297	0.0000	0.0000	0.2302	0.0000	1.4132	7341.1516	0.0000	1.2929	0.0000	0.4064	0.0201	1.2187	0.5280	1.4274	0.0000	50.5693	0.0000	0.6447
2016/03/04	13:32:20.559	1.1251	4.3347	0.5244	0.0000	0.1740	0.0010	1.7306	0.4008	863.8258	16.6334	0.0000	0.0335	0.1891	0.0000	1.1056	7494.2028	0.0000	1.3545	0.0394	0.3178	0.0093	1.2247	0.4368	1.6058	0.0000	50.6616	0.0000	0.8096
2016/03/04	13:32:31.996	3.0017	63.6354	0.5363	0.0000	0.1937	0.0233	1.7307	0.4244	822.5118	15.3738	0.0000	0.0000	0.2452	0.0000	1.6893	7354.3614	0.0000	1.7397	0.0000	0.4030	0.0253	1.2276	0.4657	1.2521	0.0000	50.7471	0.0387	0.9558
