Calibration Set: Toluene flaming 690_760 (0.5 1/cm 175C)

Spectral range: (690 -  760) 1/cm
C min:   0.0 ppm
C max: 500.0 ppm
Path length: 5.00 m

347:   347 ppm 1735.00 ppmm
348:   348 ppm 1740.00 ppmm
349:   349 ppm 1745.00 ppmm
350:   350 ppm 1750.00 ppmm
351:   351 ppm 1755.00 ppmm
352:   352 ppm 1760.00 ppmm
353:   353 ppm 1765.00 ppmm
354:   354 ppm 1770.00 ppmm
355:   355 ppm 1775.00 ppmm
356:   356 ppm 1780.00 ppmm
357:   357 ppm 1785.00 ppmm
358:   358 ppm 1790.00 ppmm
359:   359 ppm 1795.00 ppmm
360:   360 ppm 1800.00 ppmm
361:   361 ppm 1805.00 ppmm
362:   362 ppm 1810.00 ppmm
363:   363 ppm 1815.00 ppmm
364:   364 ppm 1820.00 ppmm
365:   365 ppm 1825.00 ppmm
366:   366 ppm 1830.00 ppmm
367:   367 ppm 1835.00 ppmm
368:   368 ppm 1840.00 ppmm
369:   369 ppm 1845.00 ppmm
370:   370 ppm 1850.00 ppmm
371:   371 ppm 1855.00 ppmm
372:   372 ppm 1860.00 ppmm
373:   373 ppm 1865.00 ppmm
374:   374 ppm 1870.00 ppmm
375:   375 ppm 1875.00 ppmm
376:   376 ppm 1880.00 ppmm
377:   377 ppm 1885.00 ppmm
378:   378 ppm 1890.00 ppmm
379:   379 ppm 1895.00 ppmm
380:   380 ppm 1900.00 ppmm
381:   381 ppm 1905.00 ppmm
382:   382 ppm 1910.00 ppmm
383:   383 ppm 1915.00 ppmm
384:   384 ppm 1920.00 ppmm
385:   385 ppm 1925.00 ppmm
386:   386 ppm 1930.00 ppmm
387:   387 ppm 1935.00 ppmm
388:   388 ppm 1940.00 ppmm
389:   389 ppm 1945.00 ppmm
390:   390 ppm 1950.00 ppmm
391:   391 ppm 1955.00 ppmm
392:   392 ppm 1960.00 ppmm
393:   393 ppm 1965.00 ppmm
394:   394 ppm 1970.00 ppmm
395:   395 ppm 1975.00 ppmm
396:   396 ppm 1980.00 ppmm
397:   397 ppm 1985.00 ppmm
398:   398 ppm 1990.00 ppmm
399:   399 ppm 1995.00 ppmm
400:   400 ppm 2000.00 ppmm
401:   401 ppm 2005.00 ppmm
402:   402 ppm 2010.00 ppmm
403:   403 ppm 2015.00 ppmm
404:   404 ppm 2020.00 ppmm
405:   405 ppm 2025.00 ppmm
406:   406 ppm 2030.00 ppmm
407:   407 ppm 2035.00 ppmm
408:   408 ppm 2040.00 ppmm
409:   409 ppm 2045.00 ppmm
410:   410 ppm 2050.00 ppmm
411:   411 ppm 2055.00 ppmm
412:   412 ppm 2060.00 ppmm
413:   413 ppm 2065.00 ppmm
414:   414 ppm 2070.00 ppmm
415:   415 ppm 2075.00 ppmm
416:   416 ppm 2080.00 ppmm
417:   417 ppm 2085.00 ppmm
418:   418 ppm 2090.00 ppmm
419:   419 ppm 2095.00 ppmm
420:   420 ppm 2100.00 ppmm
421:   421 ppm 2105.00 ppmm
422:   422 ppm 2110.00 ppmm
423:   423 ppm 2115.00 ppmm
424:   424 ppm 2120.00 ppmm
425:   425 ppm 2125.00 ppmm
426:   426 ppm 2130.00 ppmm
427:   427 ppm 2135.00 ppmm
428:   428 ppm 2140.00 ppmm
429:   429 ppm 2145.00 ppmm
430:   430 ppm 2150.00 ppmm
431:   431 ppm 2155.00 ppmm
432:   432 ppm 2160.00 ppmm
433:   433 ppm 2165.00 ppmm
434:   434 ppm 2170.00 ppmm
435:   435 ppm 2175.00 ppmm
436:   436 ppm 2180.00 ppmm
437:   437 ppm 2185.00 ppmm
438:   438 ppm 2190.00 ppmm
439:   439 ppm 2195.00 ppmm
440:   440 ppm 2200.00 ppmm
441:   441 ppm 2205.00 ppmm
442:   442 ppm 2210.00 ppmm
443:   443 ppm 2215.00 ppmm
444:   444 ppm 2220.00 ppmm
445:   445 ppm 2225.00 ppmm
446:   446 ppm 2230.00 ppmm
447:   447 ppm 2235.00 ppmm
448:   448 ppm 2240.00 ppmm
449:   449 ppm 2245.00 ppmm
450:   450 ppm 2250.00 ppmm
451:   451 ppm 2255.00 ppmm
452:   452 ppm 2260.00 ppmm
453:   453 ppm 2265.00 ppmm
454:   454 ppm 2270.00 ppmm
455:   455 ppm 2275.00 ppmm
456:   456 ppm 2280.00 ppmm
457:   457 ppm 2285.00 ppmm
458:   458 ppm 2290.00 ppmm
459:   459 ppm 2295.00 ppmm
460:   460 ppm 2300.00 ppmm
461:   461 ppm 2305.00 ppmm
462:   462 ppm 2310.00 ppmm
463:   463 ppm 2315.00 ppmm
464:   464 ppm 2320.00 ppmm
465:   465 ppm 2325.00 ppmm
466:   466 ppm 2330.00 ppmm
467:   467 ppm 2335.00 ppmm
468:   468 ppm 2340.00 ppmm
469:   469 ppm 2345.00 ppmm
470:   470 ppm 2350.00 ppmm
471:   471 ppm 2355.00 ppmm
472:   472 ppm 2360.00 ppmm
473:   473 ppm 2365.00 ppmm
474:   474 ppm 2370.00 ppmm
475:   475 ppm 2375.00 ppmm
476:   476 ppm 2380.00 ppmm
